,0
418,1.768508e-09
419,-9.883010e-10
420,2.054530e-09
421,-6.109183e-10
422,-2.052705e-09
423,2.914269e-10
424,-7.426132e-10
425,7.857818e-10
426,-3.861513e-10
427,6.397496e-10
428,9.688099e-11
429,-5.305816e-10
430,-7.844490e-12
431,2.847904e-10
432,3.311159e-10
433,0.000000e+00
434,1.696341e-03
435,-1.391562e-09
436,1.055875e-09
437,-8.137918e-10
438,4.528909e-10
439,-4.662707e-10
440,1.029686e-09
441,5.225727e-10
442,3.362356e-10
443,-6.072103e-10
444,-4.675331e-10
445,-6.066851e-11
446,8.229882e-10
447,-3.535056e-09
448,2.914374e-09
449,-1.905973e-10
450,8.265819e-11
451,-4.576558e-10
452,1.018560e-09
453,1.155974e-11
454,-1.395264e-09
455,2.901386e-10
456,4.674894e-10
457,3.071867e-10
458,-3.784976e-10
459,-8.631889e-10
460,1.787795e-10
461,3.378900e-10
462,3.272660e-10
463,-1.020721e-09
464,9.126517e-10
465,-2.329277e-10
466,6.480050e-10
467,-3.579304e-10
468,-8.715844e-10
469,6.561620e-10
470,-1.884631e-09
471,1.800877e-09
472,4.835863e-10
473,0.000000e+00
474,7.663374e-04
475,-5.288680e-10
476,1.094610e-09
477,-1.554793e-10
478,-6.298082e-10
479,1.884256e-10
480,6.910382e-10
481,-9.118730e-10
482,4.668201e-10
483,4.877500e-10
484,3.023857e-10
485,-6.955548e-10
486,5.676326e-10
487,-7.052037e-10
488,-2.117401e-10
489,2.343005e-09
490,9.764566e-10
491,-2.418508e-09
492,2.149610e-11
493,1.117251e-10
494,1.012667e-09
495,-1.108104e-09
496,2.630509e-10
497,1.883564e-09
498,-1.145562e-09
499,-5.101979e-10
500,4.352198e-11
501,1.187496e-09
502,-1.765390e-09
503,7.724205e-10
504,-1.515755e-10
505,4.330519e-10
506,-7.938310e-10
507,1.236416e-09
508,1.556454e-11
509,-5.370566e-10
510,-1.290390e-09
511,1.151640e-09
512,7.113544e-10
513,0.000000e+00
514,9.246639e-04
515,4.316612e-11
516,-2.316038e-10
517,1.449941e-09
518,-4.714893e-10
519,3.166835e-10
520,-1.002111e-09
521,6.697329e-10
522,-9.416840e-10
523,1.360050e-09
524,-1.089061e-09
525,9.260124e-10
526,-1.873135e-10
527,1.446714e-09
528,-1.604216e-09
529,8.235218e-10
530,-5.101125e-10
531,4.972930e-10
532,-2.136446e-10
533,-9.226104e-11
534,9.931005e-10
535,-1.220975e-10
536,-6.272131e-10
537,-7.341792e-10
538,5.715659e-10
539,-6.043171e-10
540,6.652223e-10
541,-1.555223e-09
542,2.345792e-10
543,6.076648e-11
544,1.296768e-10
545,4.141766e-10
546,7.975846e-10
547,-9.696935e-10
548,2.661057e-10
549,-1.047365e-09
550,1.622533e-09
551,-3.256261e-09
552,1.570556e-09
553,0.000000e+00
554,2.663431e-05
555,-2.987778e-10
556,5.575582e-10
557,-2.148856e-09
558,6.443290e-11
559,1.446728e-10
560,1.683406e-09
561,-2.907800e-12
562,4.475197e-10
563,1.939170e-10
564,-1.713212e-10
565,-8.786326e-10
566,1.965766e-09
567,3.628755e-10
568,-1.043718e-09
569,-2.456246e-09
570,1.406554e-09
571,-1.422940e-09
572,3.711265e-10
573,4.900267e-10
574,-4.920083e-10
575,8.815916e-10
576,2.093775e-11
577,-1.752699e-09
578,8.802448e-10
579,-1.186892e-10
580,4.296823e-13
581,2.555553e-10
582,-1.315054e-09
583,1.144046e-09
584,-1.459801e-09
585,-9.208995e-12
586,-1.617809e-09
587,-2.477269e-11
588,1.213077e-09
589,-5.518278e-10
590,9.492956e-10
591,-4.688245e-10
592,0.000000e+00
593,5.411882e-03
594,2.620528e-09
595,1.227451e-10
596,2.176327e-10
597,-9.128975e-10
598,1.172136e-09
599,-1.022770e-09
600,8.369766e-10
601,-4.529302e-10
602,6.557201e-10
603,-1.266572e-09
604,4.517181e-10
605,-4.339749e-10
606,1.659316e-09
607,-1.501083e-09
608,-1.083699e-09
609,-5.351416e-10
610,-8.936971e-10
611,2.552737e-10
612,4.028423e-10
613,7.675197e-10
614,-3.012875e-10
615,1.239696e-09
616,-7.141909e-10
617,-7.230676e-10
618,1.411764e-09
619,-1.536989e-09
620,-7.278441e-10
621,6.554229e-10
622,4.161232e-10
623,-3.103032e-10
624,-3.282721e-10
625,-3.562894e-11
626,-9.847060e-10
627,2.319975e-09
628,-9.526263e-10
629,4.081090e-10
630,2.586444e-10
631,0.000000e+00
632,3.005170e-04
633,-4.585015e-10
634,-6.546003e-10
635,2.132975e-09
636,-1.309210e-09
637,5.929199e-10
638,-6.872676e-10
639,-8.412004e-10
640,6.543574e-10
641,8.191147e-10
642,-3.764852e-09
643,-2.972766e-10
644,5.871711e-10
645,5.663754e-10
646,-7.252656e-10
647,1.595998e-10
648,3.452137e-10
649,4.845171e-10
650,-8.546213e-10
651,-2.089610e-10
652,8.629678e-10
653,5.532769e-10
654,2.202213e-10
655,-1.791683e-09
656,1.768503e-09
657,-8.128359e-10
658,-2.557194e-10
659,-4.881222e-10
660,9.480546e-10
661,-9.340367e-11
662,7.595469e-10
663,-8.736885e-10
664,4.297985e-10
665,-5.078676e-10
666,-3.018266e-10
667,-4.646260e-10
668,6.645989e-11
669,-8.757743e-10
670,3.268708e-10
671,1.098471e-09
672,0.000000e+00
673,1.211786e-03
674,-7.846340e-10
675,1.236719e-09
676,-1.453637e-09
677,1.647019e-09
678,-6.721089e-10
679,8.063290e-11
680,-1.101225e-09
681,2.899349e-10
682,1.181105e-09
683,1.680398e-09
684,1.365035e-09
685,-1.002069e-09
686,1.008042e-09
687,-7.461791e-10
688,1.678984e-09
689,-5.195026e-10
690,-7.823608e-10
691,-5.178721e-10
692,8.627966e-10
693,-1.781365e-09
694,1.206130e-09
695,-1.357790e-09
696,-6.132288e-10
697,-6.543832e-13
698,4.014466e-10
699,-3.383467e-11
700,-4.932108e-10
701,2.821253e-10
702,1.716798e-10
703,-1.209390e-09
704,6.803767e-10
705,-3.385646e-10
706,-7.331352e-10
707,3.803640e-10
708,-5.666860e-10
709,7.411519e-11
710,0.000000e+00
711,-7.041642e-04
712,-3.468246e-10
713,1.464672e-09
714,-3.441259e-11
715,-4.713459e-10
716,-1.151039e-09
717,7.387577e-10
718,-4.437392e-10
719,1.563268e-09
720,-1.804995e-09
721,-2.527301e-09
722,-1.565614e-09
723,1.937196e-10
724,-5.884686e-10
725,1.000447e-09
726,-1.360824e-09
727,1.920009e-10
728,2.872977e-10
729,2.070573e-10
730,5.951060e-10
731,-9.591188e-10
732,7.360359e-10
733,2.456442e-10
734,-2.285549e-10
735,1.560410e-09
736,-2.061267e-09
737,8.395674e-10
738,-1.523296e-09
739,1.568681e-10
740,9.101493e-10
741,-3.875959e-10
742,2.266742e-10
743,7.803024e-10
744,-3.227779e-10
745,2.522331e-10
746,-5.472993e-10
